rom	md5	crc	v14
Adventures of Lolo 2 (USA).nes	0f8eac497adc07858685b8e84e59a56b	862AB1E5	9c1d74f31b66b89fa7852eccb3858397
Adventures of Lolo 3 (Europe).nes	5b01f020d0981ffc178b7b2589fae53b	5A8A50BA	a58eac056a003f352bc9fb01248520cf
Adventures of Lolo 3 (USA).nes	3dc676f6a0d1e400bb4e1bf908e4c46a	E06A060B	3a908031aa0e30b2122e9468b96ead85
Adventures of Rocky and Bullwinkle and Friends, The (USA).nes	61f71ce15d3ceb2b91521214771dff2a	08EFFDE5	60610e51bd6cd8671ff2d3f4000dc360
Adventures of Tom Sawyer (USA).nes	df266b997ee8a1b6bbbaef45bd127201	0336F9F3	8c635743c7cd36ab904bc6beaac7c163
After Burner (Japan).nes	d4e8504a98bed9fe6a45b6011fd2cb45	A4928096	b8b4ae1ab5dc12d64f838c4de91990f3
After Burner (USA) (Unl).nes	7a8d6a95e31c90286250d2bd6d03d622	A0C558A9	2673c9b12151fc460dd13bdc522256b1
Ai Sensei no Oshiete - Watashi no Hoshi (Japan).nes	db16a93aca3562cf33135a5f3ea1563d	8A4BADA4	b0da4553e47b2da06ebe3987a08b26ab
Aigina no Yogen - Balubalouk no Densetsu Yori (Japan).nes	e2790029e75f2fb102293f4d820cb46b	04FC4764	5f7cea5eea051eafc515eeaf54033af6
Air Fortress (Europe).nes	87a96dea488d224c66ecf8aafde796c0	EB4388D5	0708c2f2fe05e90aea9a67522e117aaa
Air Fortress (Japan).nes	c6f38562a6019667c2982a63c209bc8f	53CB7CED	b50bea9d5eda3649361648b252925275
Air Fortress (USA).nes	8087e6f5349d84fb6f14e67bc3cbb386	B8FD02B7	c77a28fd1f6257b0b50f822814fc8134
Airwolf (Europe).nes	6d61204850b3fd027dff37c8d22be0a8	F50F49A4	04228ee488627e75a345d6d82b00b510
Airwolf (USA).nes	d0fa24d5784cca5cb96610a95db37538	F0A5EB24	1372771e3fb8468099e2f66042e51379
Akagawa Jirou no Yuurei Ressha (Japan).nes	aec0aa58dcdcd7b3c42ba00b28104c67	F838A784	710247a45194b8cb4f40f97db38ba643
Akira (Japan).nes	47b884105568611d35fb7f82565b05b0	9D83974C	0b32122e1525f3ffe8903e01f4c85788
Akuma-kun - Makai no Wana (Japan).nes	6e8f662e8925873c993cf00b9d167478	A103340C	c216b1b242b7046d6b84c963d31d7bf0
Akumajou Dracula (Japan).nes	b28b00195e56b548880192140b4648f0	93F0488C	6ac46a50c86f9ce8c2597f21f68fe972
Akumajou Special - Boku Dracula-kun (Japan).nes	58e2a3b62103c1f4af7aec452caff175	F916D969	e0df334203be222ff23a42b42fe1438e
Al Unser Jr. Turbo Racing (USA).nes	50702dda9d66d1836ecbba8433c11d8d	023C7774	c6dc6ccfea184041dccd42a44866996d
Alfred Chicken (Europe).nes	0d9730b35dd7fe35fba1d2cfc60a6cef	B6637200	9c2219c6f5a19be8392c11e98f542ac7
Alfred Chicken (USA).nes	7d98e58e94078ab768a7ed3042f04501	A01EF87E	2eecae9e49165a67f2015cbe946dcc98
Alien 3 (Europe).nes	d993ef7e8225847beef147b2f7eb6af1	F755D15B	39f81fa93546b938c32773bb3c595d0b
Alien 3 (USA).nes	f1dfb8cc6b1ee557c0435b1be01194b2	EFB4CA05	5621613236b244b7558e6851e305ef85
Alien Syndrome (Japan).nes	4639eae5851e0243c6dbf4bd31855406	36305FA3	b250ec33194effe8a892bbfd5933c2dd
Alien Syndrome (USA) (Unl).nes	5b87e0a19b65de73d41cf0a6df88b47b	9E8351AF	060c331aff7e94158f0205acb04be2d3
All-Pro Basketball (USA).nes	dcf7b3220ddcece3a04c4f6f6b8db45e	FEFE9064	f9653bb5c7ad40057647677b58c9b6f4
Alpha Mission (Europe).nes	9b17ba92a2838f31421a8f4a2b371dba	4E77E683	f0fe8c50b0e623e2f7374d398dd41d01
Alpha Mission (USA).nes	5cd88979c69262ae982e40a61f93acc9	02E67223	b5e9678ada66593d6a863d46f48dce70
Amagon (USA).nes	07cf64f91db3a32e3525f3bec1115c71	D1BDE95C	d8bd241e27f2c1812751e4e92c7ec68e
America Daitouryou Senkyo (Japan).nes	36bddcb2e587d90031db6ecc213367f4	FFC0D0A0	ad100083274f1112173e1e8e2a929c47
America Oudan Ultra Quiz - Shijou Saidai no Tatakai (Japan).nes	1f9575874c2a7180e80942a31c468486	B42D25AC	4543841aae7b102fd674ee145102d0ee
American Dream (Japan).nes	70fd0d7a5339fa504ddb616b82aab269	5249764C	c9ff57c64fac274837e8df9d4cbea96c
American Gladiators (USA).nes	2253f7994665c4bb1f195452b05206d7	74C08F86	9c4aaf4ff45b782e19d8d1dea534e644
Ankoku Shinwa - Yamato Takeru Densetsu (Japan).nes	5d18550493a6345cdd51da4769e689d7	35A77607	53602b8484c73d345d8e2aaa4b607c4d
Anticipation (Europe).nes	c374308cfe8dc38489bb520cc6fc4ea0	B5329F90	e6f6a99ac2ac889b9d70c0eabf52af69
Anticipation (USA).nes	d30a1064cdd6ddcc4f47e0b5197dffb3	31D239D6	14de068a0ea0b211c697d8795228c282
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan).nes	2c9b111b2cc753657ede3d48e4253355	B89D59A3	35259a1ff23ed451592f49babc777298
Arch Rivals - A Basketbrawl! (Europe).nes	cef8cc16b49de19b543746297c79505c	DBCDD694	699c164543d88b317e7fd94b65ae2158
Arch Rivals - A Basketbrawl! (USA).nes	77c100788ed2e8e24aad03acb93f03bb	37EF8319	f2b2be3dfc30ee297fb62ee68fc56893
Archon (USA).nes	4777689bfc7ad9e36136235fc774a36d	C00D228D	0f3b320959931b549eab42566aeadb63
Arctic (Japan).nes	2fb9fc990125b8c9b71fe05c5ed9b326	DC8380BE	1a0259cc0a8adc82f3e23d1844643111
Argos no Senshi (Japan).nes	b7631eb5ac42543e3cddf6816aae1bf8	D2BBB3EE	98972693babad6f93782cfaffc031c84
Argus (Japan).nes	8222c0c55f8df3c2ee5290a9d3bac636	D6396AA7	1d8273dd8a920faf0f77978daa312cfe
